run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-19:36:59-39596,runattr,,,configname,General,,
General-9-20230611-19:36:59-39596,runattr,,,datetime,20230611-19:36:59,,
General-9-20230611-19:36:59-39596,runattr,,,datetimef,20230611-193659,,
General-9-20230611-19:36:59-39596,runattr,,,experiment,General,,
General-9-20230611-19:36:59-39596,runattr,,,inifile,"HeavyTrafficLimits_lambda_1.2-switchProb_0.8-serviceTime_uniform(1s,6s).ini",,
General-9-20230611-19:36:59-39596,runattr,,,iterationvars,,,
General-9-20230611-19:36:59-39596,runattr,,,iterationvarsd,,,
General-9-20230611-19:36:59-39596,runattr,,,iterationvarsf,,,
General-9-20230611-19:36:59-39596,runattr,,,measurement,,,
General-9-20230611-19:36:59-39596,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-19:36:59-39596,runattr,,,processid,39596,,
General-9-20230611-19:36:59-39596,runattr,,,repetition,9,,
General-9-20230611-19:36:59-39596,runattr,,,replication,rep9,,
General-9-20230611-19:36:59-39596,runattr,,,resultdir,"results/lambda_1.2-switchProb_0.8-serviceTime_uniform(1s,6s)",,
General-9-20230611-19:36:59-39596,runattr,,,runnumber,9,,
General-9-20230611-19:36:59-39596,runattr,,,seedset,9,,
General-9-20230611-19:36:59-39596,config,,,network,HeavyTrafficLimits,,
General-9-20230611-19:36:59-39596,config,,,sim-time-limit,100000s,,
General-9-20230611-19:36:59-39596,config,,,repeat,20,,
General-9-20230611-19:36:59-39596,config,,,replication-label,rep9,,
General-9-20230611-19:36:59-39596,config,,,result-dir,"results/lambda_1.2-switchProb_0.8-serviceTime_uniform(1s,6s)",,
General-9-20230611-19:36:59-39596,config,,,warmup-period,30000s,,
General-9-20230611-19:36:59-39596,config,,,**.source.lambda,1.2,,
General-9-20230611-19:36:59-39596,config,,,**.router.switchProbability,0.8,,
General-9-20230611-19:36:59-39596,config,,,**.server1.serviceTime,"uniform(1s,6s)",,
General-9-20230611-19:36:59-39596,config,,,**.server2.serviceTime,"uniform(1s,6s)",,
General-9-20230611-19:36:59-39596,config,,,**.server3.serviceTime,"uniform(1s,6s)",,
General-9-20230611-19:36:59-39596,config,,,**.server1.crashTime,500,,
General-9-20230611-19:36:59-39596,config,,,**.server2.crashTime,750,,
General-9-20230611-19:36:59-39596,config,,,**.server3.crashTime,1000,,
General-9-20230611-19:36:59-39596,config,,,**.server1.queueLength.record,true,,
General-9-20230611-19:36:59-39596,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-19:36:59-39596,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-19:36:59-39596,config,,,**.server3.serviceTime.record,true,,
