run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-18:09:24-19248,runattr,,,configname,General,,
General-9-20230611-18:09:24-19248,runattr,,,datetime,20230611-18:09:24,,
General-9-20230611-18:09:24-19248,runattr,,,datetimef,20230611-180924,,
General-9-20230611-18:09:24-19248,runattr,,,experiment,General,,
General-9-20230611-18:09:24-19248,runattr,,,inifile,HeavyTrafficLimits_lambda_1.2-switchProb_0.2-s1ExpMean_mu1_3.ini,,
General-9-20230611-18:09:24-19248,runattr,,,iterationvars,,,
General-9-20230611-18:09:24-19248,runattr,,,iterationvarsd,,,
General-9-20230611-18:09:24-19248,runattr,,,iterationvarsf,,,
General-9-20230611-18:09:24-19248,runattr,,,measurement,,,
General-9-20230611-18:09:24-19248,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-18:09:24-19248,runattr,,,processid,19248,,
General-9-20230611-18:09:24-19248,runattr,,,repetition,9,,
General-9-20230611-18:09:24-19248,runattr,,,replication,rep9,,
General-9-20230611-18:09:24-19248,runattr,,,resultdir,results/lambda_1.2-switchProb_0.2-s1ExpMean_mu1_3,,
General-9-20230611-18:09:24-19248,runattr,,,runnumber,9,,
General-9-20230611-18:09:24-19248,runattr,,,seedset,9,,
General-9-20230611-18:09:24-19248,config,,,network,HeavyTrafficLimits,,
General-9-20230611-18:09:24-19248,config,,,sim-time-limit,100000s,,
General-9-20230611-18:09:24-19248,config,,,repeat,20,,
General-9-20230611-18:09:24-19248,config,,,replication-label,rep9,,
General-9-20230611-18:09:24-19248,config,,,result-dir,results/lambda_1.2-switchProb_0.2-s1ExpMean_mu1_3,,
General-9-20230611-18:09:24-19248,config,,,warmup-period,30000s,,
General-9-20230611-18:09:24-19248,config,,,**.source.lambda,1.2,,
General-9-20230611-18:09:24-19248,config,,,**.router.switchProbability,0.2,,
General-9-20230611-18:09:24-19248,config,,,**.server1.serviceTime,exponential(0.33s),,
General-9-20230611-18:09:24-19248,config,,,**.server2.serviceTime,exponential(0.33s),,
General-9-20230611-18:09:24-19248,config,,,**.server3.serviceTime,exponential(0.33s),,
General-9-20230611-18:09:24-19248,config,,,**.server1.crashTime,500,,
General-9-20230611-18:09:24-19248,config,,,**.server2.crashTime,750,,
General-9-20230611-18:09:24-19248,config,,,**.server3.crashTime,1000,,
General-9-20230611-18:09:24-19248,config,,,**.S1.serviceTime,exponential(0.333s),,
General-9-20230611-18:09:24-19248,config,,,**.server1.queueLength.record,true,,
General-9-20230611-18:09:24-19248,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-18:09:24-19248,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-18:09:24-19248,config,,,**.server3.serviceTime.record,true,,
