run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-23:09:17-1716,runattr,,,configname,General,,
General-9-20230611-23:09:17-1716,runattr,,,datetime,20230611-23:09:17,,
General-9-20230611-23:09:17-1716,runattr,,,datetimef,20230611-230917,,
General-9-20230611-23:09:17-1716,runattr,,,experiment,General,,
General-9-20230611-23:09:17-1716,runattr,,,inifile,"HeavyTrafficLimits_lambda_2.0-switchProb_0.4-serviceTime_uniform(2s,4s).ini",,
General-9-20230611-23:09:17-1716,runattr,,,iterationvars,,,
General-9-20230611-23:09:17-1716,runattr,,,iterationvarsd,,,
General-9-20230611-23:09:17-1716,runattr,,,iterationvarsf,,,
General-9-20230611-23:09:17-1716,runattr,,,measurement,,,
General-9-20230611-23:09:17-1716,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-23:09:17-1716,runattr,,,processid,1716,,
General-9-20230611-23:09:17-1716,runattr,,,repetition,9,,
General-9-20230611-23:09:17-1716,runattr,,,replication,rep9,,
General-9-20230611-23:09:17-1716,runattr,,,resultdir,"results/lambda_2.0-switchProb_0.4-serviceTime_uniform(2s,4s)",,
General-9-20230611-23:09:17-1716,runattr,,,runnumber,9,,
General-9-20230611-23:09:17-1716,runattr,,,seedset,9,,
General-9-20230611-23:09:17-1716,config,,,network,HeavyTrafficLimits,,
General-9-20230611-23:09:17-1716,config,,,sim-time-limit,100000s,,
General-9-20230611-23:09:17-1716,config,,,repeat,20,,
General-9-20230611-23:09:17-1716,config,,,replication-label,rep9,,
General-9-20230611-23:09:17-1716,config,,,result-dir,"results/lambda_2.0-switchProb_0.4-serviceTime_uniform(2s,4s)",,
General-9-20230611-23:09:17-1716,config,,,warmup-period,30000s,,
General-9-20230611-23:09:17-1716,config,,,**.source.lambda,2.0,,
General-9-20230611-23:09:17-1716,config,,,**.router.switchProbability,0.4,,
General-9-20230611-23:09:17-1716,config,,,**.server1.serviceTime,"uniform(2s,4s)",,
General-9-20230611-23:09:17-1716,config,,,**.server2.serviceTime,"uniform(2s,4s)",,
General-9-20230611-23:09:17-1716,config,,,**.server3.serviceTime,"uniform(2s,4s)",,
General-9-20230611-23:09:17-1716,config,,,**.server1.crashTime,500,,
General-9-20230611-23:09:17-1716,config,,,**.server2.crashTime,750,,
General-9-20230611-23:09:17-1716,config,,,**.server3.crashTime,1000,,
General-9-20230611-23:09:17-1716,config,,,**.server1.queueLength.record,true,,
General-9-20230611-23:09:17-1716,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-23:09:17-1716,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-23:09:17-1716,config,,,**.server3.serviceTime.record,true,,
