run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-20:32:40-31500,runattr,,,configname,General,,
General-9-20230611-20:32:40-31500,runattr,,,datetime,20230611-20:32:40,,
General-9-20230611-20:32:40-31500,runattr,,,datetimef,20230611-203240,,
General-9-20230611-20:32:40-31500,runattr,,,experiment,General,,
General-9-20230611-20:32:40-31500,runattr,,,inifile,HeavyTrafficLimits_lambda_1.4-switchProb_0.4-s1ExpMean_mu1_4.ini,,
General-9-20230611-20:32:40-31500,runattr,,,iterationvars,,,
General-9-20230611-20:32:40-31500,runattr,,,iterationvarsd,,,
General-9-20230611-20:32:40-31500,runattr,,,iterationvarsf,,,
General-9-20230611-20:32:40-31500,runattr,,,measurement,,,
General-9-20230611-20:32:40-31500,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-20:32:40-31500,runattr,,,processid,31500,,
General-9-20230611-20:32:40-31500,runattr,,,repetition,9,,
General-9-20230611-20:32:40-31500,runattr,,,replication,rep9,,
General-9-20230611-20:32:40-31500,runattr,,,resultdir,results/lambda_1.4-switchProb_0.4-s1ExpMean_mu1_4,,
General-9-20230611-20:32:40-31500,runattr,,,runnumber,9,,
General-9-20230611-20:32:40-31500,runattr,,,seedset,9,,
General-9-20230611-20:32:40-31500,config,,,network,HeavyTrafficLimits,,
General-9-20230611-20:32:40-31500,config,,,sim-time-limit,100000s,,
General-9-20230611-20:32:40-31500,config,,,repeat,20,,
General-9-20230611-20:32:40-31500,config,,,replication-label,rep9,,
General-9-20230611-20:32:40-31500,config,,,result-dir,results/lambda_1.4-switchProb_0.4-s1ExpMean_mu1_4,,
General-9-20230611-20:32:40-31500,config,,,warmup-period,30000s,,
General-9-20230611-20:32:40-31500,config,,,**.source.lambda,1.4,,
General-9-20230611-20:32:40-31500,config,,,**.router.switchProbability,0.4,,
General-9-20230611-20:32:40-31500,config,,,**.server1.serviceTime,exponential(0.33s),,
General-9-20230611-20:32:40-31500,config,,,**.server2.serviceTime,exponential(0.33s),,
General-9-20230611-20:32:40-31500,config,,,**.server3.serviceTime,exponential(0.33s),,
General-9-20230611-20:32:40-31500,config,,,**.server1.crashTime,500,,
General-9-20230611-20:32:40-31500,config,,,**.server2.crashTime,750,,
General-9-20230611-20:32:40-31500,config,,,**.server3.crashTime,1000,,
General-9-20230611-20:32:40-31500,config,,,**.S1.serviceTime,exponential(0.25s),,
General-9-20230611-20:32:40-31500,config,,,**.server1.queueLength.record,true,,
General-9-20230611-20:32:40-31500,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-20:32:40-31500,config,,,**.server2.serviceTime.record,true,,
