run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-18:54:42-29044,runattr,,,configname,General,,
General-9-20230611-18:54:42-29044,runattr,,,datetime,20230611-18:54:42,,
General-9-20230611-18:54:42-29044,runattr,,,datetimef,20230611-185442,,
General-9-20230611-18:54:42-29044,runattr,,,experiment,General,,
General-9-20230611-18:54:42-29044,runattr,,,inifile,HeavyTrafficLimits_lambda_1.2-switchProb_0.4-serviceTime_exponential(0.25s).ini,,
General-9-20230611-18:54:42-29044,runattr,,,iterationvars,,,
General-9-20230611-18:54:42-29044,runattr,,,iterationvarsd,,,
General-9-20230611-18:54:42-29044,runattr,,,iterationvarsf,,,
General-9-20230611-18:54:42-29044,runattr,,,measurement,,,
General-9-20230611-18:54:42-29044,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-18:54:42-29044,runattr,,,processid,29044,,
General-9-20230611-18:54:42-29044,runattr,,,repetition,9,,
General-9-20230611-18:54:42-29044,runattr,,,replication,rep9,,
General-9-20230611-18:54:42-29044,runattr,,,resultdir,results/lambda_1.2-switchProb_0.4-serviceTime_exponential(0.25s),,
General-9-20230611-18:54:42-29044,runattr,,,runnumber,9,,
General-9-20230611-18:54:42-29044,runattr,,,seedset,9,,
General-9-20230611-18:54:42-29044,config,,,network,HeavyTrafficLimits,,
General-9-20230611-18:54:42-29044,config,,,sim-time-limit,100000s,,
General-9-20230611-18:54:42-29044,config,,,repeat,20,,
General-9-20230611-18:54:42-29044,config,,,replication-label,rep9,,
General-9-20230611-18:54:42-29044,config,,,result-dir,results/lambda_1.2-switchProb_0.4-serviceTime_exponential(0.25s),,
General-9-20230611-18:54:42-29044,config,,,warmup-period,30000s,,
General-9-20230611-18:54:42-29044,config,,,**.source.lambda,1.2,,
General-9-20230611-18:54:42-29044,config,,,**.router.switchProbability,0.4,,
General-9-20230611-18:54:42-29044,config,,,**.server1.serviceTime,exponential(0.25s),,
General-9-20230611-18:54:42-29044,config,,,**.server2.serviceTime,exponential(0.25s),,
