run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-21:09:12-29012,runattr,,,configname,General,,
General-9-20230611-21:09:12-29012,runattr,,,datetime,20230611-21:09:12,,
General-9-20230611-21:09:12-29012,runattr,,,datetimef,20230611-210912,,
General-9-20230611-21:09:12-29012,runattr,,,experiment,General,,
General-9-20230611-21:09:12-29012,runattr,,,inifile,HeavyTrafficLimits_lambda_1.4-switchProb_0.8-s1ExpMean_mu1_4.ini,,
General-9-20230611-21:09:12-29012,runattr,,,iterationvars,,,
General-9-20230611-21:09:12-29012,runattr,,,iterationvarsd,,,
General-9-20230611-21:09:12-29012,runattr,,,iterationvarsf,,,
General-9-20230611-21:09:12-29012,runattr,,,measurement,,,
General-9-20230611-21:09:12-29012,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-21:09:12-29012,runattr,,,processid,29012,,
General-9-20230611-21:09:12-29012,runattr,,,repetition,9,,
General-9-20230611-21:09:12-29012,runattr,,,replication,rep9,,
General-9-20230611-21:09:12-29012,runattr,,,resultdir,results/lambda_1.4-switchProb_0.8-s1ExpMean_mu1_4,,
General-9-20230611-21:09:12-29012,runattr,,,runnumber,9,,
General-9-20230611-21:09:12-29012,runattr,,,seedset,9,,
General-9-20230611-21:09:12-29012,config,,,network,HeavyTrafficLimits,,
General-9-20230611-21:09:12-29012,config,,,sim-time-limit,100000s,,
General-9-20230611-21:09:12-29012,config,,,repeat,20,,
General-9-20230611-21:09:12-29012,config,,,replication-label,rep9,,
General-9-20230611-21:09:12-29012,config,,,result-dir,results/lambda_1.4-switchProb_0.8-s1ExpMean_mu1_4,,
General-9-20230611-21:09:12-29012,config,,,warmup-period,30000s,,
General-9-20230611-21:09:12-29012,config,,,**.source.lambda,1.4,,
General-9-20230611-21:09:12-29012,config,,,**.router.switchProbability,0.8,,
General-9-20230611-21:09:12-29012,config,,,**.server1.serviceTime,exponential(0.33s),,
General-9-20230611-21:09:12-29012,config,,,**.server2.serviceTime,exponential(0.33s),,
General-9-20230611-21:09:12-29012,config,,,**.server3.serviceTime,exponential(0.33s),,
General-9-20230611-21:09:12-29012,config,,,**.server1.crashTime,500,,
General-9-20230611-21:09:12-29012,config,,,**.server2.crashTime,750,,
General-9-20230611-21:09:12-29012,config,,,**.server3.crashTime,1000,,
General-9-20230611-21:09:12-29012,config,,,**.S1.serviceTime,exponential(0.25s),,
General-9-20230611-21:09:12-29012,config,,,**.server1.queueLength.record,true,,
