File,Module,Median,ConfInt_95_Width,Min_ConfInt_95,Max_ConfInt_95,Min_ConfInt_90,Max_ConfInt_90
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.822,0.0,2.822,2.822,2.822,2.822
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.729,0.0,2.729,2.729,2.729,2.729
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.113,0.0,0.113,0.113,0.113,0.113
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.822,0.0,2.822,2.822,2.822,2.822
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.729,0.0,2.729,2.729,2.729,2.729
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.113,0.0,0.113,0.113,0.113,0.113
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.822,0.0,2.822,2.822,2.822,2.822
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.729,0.0,2.729,2.729,2.729,2.729
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.113,0.0,0.113,0.113,0.113,0.113
Server2_responseTime.csv,HeavyTrafficLimits.server2,0.15,0.0,0.15,0.15,0.15,0.15
Server2_responseTime.csv,HeavyTrafficLimits.server2,2.822,0.0,2.822,2.822,2.822,2.822
