Server,Factor_Utilization
Server1,0.0723956218798065
Server2,0.0723956218798065
Server3,0.0723956218798065
Server1,0.0723956218798065
Server2,0.0723956218798065
Server3,0.0723956218798065
Server1,0.05483888180155363
Server2,0.05483888180155363
Server3,0.05483888180155363
Server1,0.0723956218798065
Server2,0.0723956218798065
Server3,0.0723956218798065
Server1,0.8476911687668199
Server2,0.8476911687668199
Server3,0.8476911687668199
Server1,0.75803491972248
Server2,0.75803491972248
Server3,0.75803491972248
Server1,0.0669858353193205
Server2,0.0669858353193205
Server3,0.0669858353193205
Server1,0.0669858353193205
Server2,0.0669858353193205
Server3,0.0669858353193205
Server1,0.05074185711912497
Server2,0.05074185711912497
Server3,0.05074185711912497
Server1,0.0669858353193205
Server2,0.0669858353193205
Server3,0.0669858353193205
Server1,1.0000000000000266
Server2,1.0000000000000266
Server3,1.0000000000000266
Server1,0.8107398567200267
Server2,0.8107398567200267
Server3,0.8107398567200267
Server1,0.056308636521618834
Server2,0.056308636521618834
Server3,0.056308636521618834
Server1,0.056308636521618834
Server2,0.056308636521618834
Server3,0.056308636521618834
Server1,0.042650388579264634
Server2,0.042650388579264634
Server3,0.042650388579264634
Server1,0.056308636521618834
Server2,0.056308636521618834
Server3,0.056308636521618834
Server1,0.8883347771510466
Server2,0.8883347771510466
Server3,0.8883347771510466
Server1,0.7653069045801634
Server2,0.7653069045801634
Server3,0.7653069045801634
Server1,0.08690169924598219
Server2,0.08690169924598219
Server3,0.08690169924598219
Server1,0.08690169924598219
Server2,0.08690169924598219
Server3,0.08690169924598219
Server1,0.06583242140998237
Server2,0.06583242140998237
Server3,0.06583242140998237
Server1,0.08690169924598219
Server2,0.08690169924598219
Server3,0.08690169924598219
Server1,0.8450934876759166
Server2,0.8450934876759166
Server3,0.8450934876759166
Server1,0.7562704345486834
Server2,0.7562704345486834
Server3,0.7562704345486834
Server1,0.08045085811074187
Server2,0.08045085811074187
Server3,0.08045085811074187
Server1,0.08045085811074187
Server2,0.08045085811074187
Server3,0.08045085811074187
Server1,0.060946451172026364
Server2,0.060946451172026364
Server3,0.060946451172026364
Server1,0.08045085811074187
Server2,0.08045085811074187
Server3,0.08045085811074187
Server1,1.0000000000000266
Server2,1.0000000000000266
Server3,1.0000000000000266
Server1,0.81078033955406
Server2,0.81078033955406
Server3,0.81078033955406
Server1,0.06759356173112988
Server2,0.06759356173112988
Server3,0.06759356173112988
Server1,0.06759356173112988
Server2,0.06759356173112988
Server3,0.06759356173112988
Server1,0.051204611521456035
Server2,0.051204611521456035
Server3,0.051204611521456035
Server1,0.06759356173112988
Server2,0.06759356173112988
Server3,0.06759356173112988
Server1,0.8873083003704699
Server2,0.8873083003704699
Server3,0.8873083003704699
Server1,0.7661968092115834
Server2,0.7661968092115834
Server3,0.7661968092115834
Server1,0.10129485563002194
Server2,0.10129485563002194
Server3,0.10129485563002194
Server1,0.10129485563002194
Server2,0.10129485563002194
Server3,0.10129485563002194
Server1,0.07671220906073566
Server2,0.07671220906073566
Server3,0.07671220906073566
Server1,0.10129485563002194
Server2,0.10129485563002194
Server3,0.10129485563002194
Server1,0.8443255441657433
Server2,0.8443255441657433
Server3,0.8443255441657433
Server1,0.75610166307674
Server2,0.75610166307674
Server3,0.75610166307674
Server1,0.09380593710188494
Server2,0.09380593710188494
Server3,0.09380593710188494
Server1,0.09380593710188494
Server2,0.09380593710188494
Server3,0.09380593710188494
Server1,0.071038596784962
Server2,0.071038596784962
Server3,0.071038596784962
Server1,0.09380593710188494
Server2,0.09380593710188494
Server3,0.09380593710188494
Server1,1.0000000000000266
Server2,1.0000000000000266
Server3,1.0000000000000266
Server1,0.8106795416249734
Server2,0.8106795416249734
Server3,0.8106795416249734
Server1,0.07878507100245327
Server2,0.07878507100245327
Server3,0.07878507100245327
Server1,0.07878507100245327
Server2,0.07878507100245327
Server3,0.07878507100245327
Server1,0.05966441756119033
Server2,0.05966441756119033
Server3,0.05966441756119033
Server1,0.07878507100245327
Server2,0.07878507100245327
Server3,0.07878507100245327
Server1,0.8896292361415233
Server2,0.8896292361415233
Server3,0.8896292361415233
Server1,0.76668240610293
Server2,0.76668240610293
Server3,0.76668240610293
Server1,0.14511578019396987
Server2,0.14511578019396987
Server3,0.14511578019396987
Server1,0.14511578019396987
Server2,0.14511578019396987
Server3,0.14511578019396987
Server1,0.10993577413469127
Server2,0.10993577413469127
Server3,0.10993577413469127
Server1,0.14511578019396987
Server2,0.14511578019396987
Server3,0.14511578019396987
Server1,0.8436056530087633
Server2,0.8436056530087633
Server3,0.8436056530087633
Server1,0.7564802487144566
Server2,0.7564802487144566
Server3,0.7564802487144566
Server1,0.1344155998940302
Server2,0.1344155998940302
Server3,0.1344155998940302
Server1,0.1344155998940302
Server2,0.1344155998940302
Server3,0.1344155998940302
Server1,0.10183125541850993
Server2,0.10183125541850993
Server3,0.10183125541850993
Server1,0.1344155998940302
Server2,0.1344155998940302
Server3,0.1344155998940302
Server1,1.0000000000000266
Server2,1.0000000000000266
Server3,1.0000000000000266
Server1,0.8108812703091134
Server2,0.8108812703091134
Server3,0.8108812703091134
Server1,0.11283262798601187
Server2,0.11283262798601187
Server3,0.11283262798601187
Server1,0.11283262798601187
Server2,0.11283262798601187
Server3,0.11283262798601187
Server1,0.08547868093214527
Server2,0.08547868093214527
Server3,0.08547868093214527
Server1,0.11283262798601187
Server2,0.11283262798601187
Server3,0.11283262798601187
Server1,0.89074275813245
Server2,0.89074275813245
Server3,0.89074275813245
Server1,0.76759000228658
Server2,0.76759000228658
Server3,0.76759000228658
