File,Name,Mean,Std_Dev,Variance,Std_Err,Min_ConfInt_t95,Max_ConfInt_t95,Min_ConfInt_t90,Max_ConfInt_t90
File.csv,lifeTime,65024.26,20203.626,408186487.474,4517.668,55600.404,74448.115,57231.282,72817.237
File.csv,lifeTime,65024.26,20203.626,408186487.474,4517.668,55600.404,74448.115,57231.282,72817.237
File.csv,lifeTime,65022.726,20202.902,408157229.876,4517.506,55599.208,74446.244,57230.028,72815.424
File.csv,lifeTime,65024.26,20203.626,408186487.474,4517.668,55600.404,74448.115,57231.282,72817.237
File.csv,lifeTime,65000.404,20207.483,408342382.15,4518.531,55574.749,74426.059,57205.939,72794.869
File.csv,lifeTime,65000.014,20208.553,408385623.65,4518.77,55573.86,74426.168,57205.136,72794.892
File.csv,lifeTime,65024.218,20203.626,408186485.64,4517.668,55600.362,74448.073,57231.241,72817.195
File.csv,lifeTime,65024.218,20203.626,408186485.64,4517.668,55600.362,74448.073,57231.241,72817.195
File.csv,lifeTime,65022.946,20203.045,408163040.75,4517.538,55599.361,74446.531,57230.192,72815.7
File.csv,lifeTime,65024.218,20203.626,408186485.64,4517.668,55600.362,74448.073,57231.241,72817.195
File.csv,lifeTime,64980.073,20208.985,408403076.92,4518.866,55553.717,74406.428,57185.028,72775.117
File.csv,lifeTime,65062.918,20204.221,408210557.133,4517.801,55638.785,74487.052,57269.711,72856.125
