File,Name,Mean,Std_Dev,Variance,Std_Err,Min_ConfInt_t95,Max_ConfInt_t95,Min_ConfInt_t90,Max_ConfInt_t90
System_responseTime.csv,responseTime,0.545,0.532,0.283,0.119,0.297,0.794,0.34,0.751
System_responseTime.csv,responseTime,0.779,0.773,0.598,0.173,0.418,1.14,0.48,1.077
System_responseTime.csv,responseTime,59323.864,24168.429,584112940.062,5404.225,48050.651,70597.077,50001.576,68646.152
System_responseTime.csv,responseTime,62141.831,18654.247,347980921.967,4171.216,53440.674,70842.988,54946.483,69337.179
System_responseTime.csv,responseTime,0.464,0.388,0.15,0.087,0.283,0.645,0.315,0.614
System_responseTime.csv,responseTime,0.464,0.388,0.15,0.087,0.283,0.645,0.315,0.614
System_responseTime.csv,responseTime,0.328,0.267,0.071,0.06,0.204,0.453,0.225,0.431
System_responseTime.csv,responseTime,0.464,0.388,0.15,0.087,0.283,0.645,0.315,0.614
System_responseTime.csv,responseTime,61401.459,23345.099,544993638.723,5220.123,50512.282,72290.635,52396.747,70406.17
System_responseTime.csv,responseTime,63516.697,19236.831,370055667.884,4301.486,54543.796,72489.597,56096.633,70936.76
