run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-18:00:05-22608,runattr,,,configname,General,,
General-9-20230611-18:00:05-22608,runattr,,,datetime,20230611-18:00:05,,
General-9-20230611-18:00:05-22608,runattr,,,datetimef,20230611-180005,,
General-9-20230611-18:00:05-22608,runattr,,,experiment,General,,
General-9-20230611-18:00:05-22608,runattr,,,inifile,"HeavyTrafficLimits_lambda_1.0-switchProb_0.8-serviceTime_uniform(1s,6s).ini",,
General-9-20230611-18:00:05-22608,runattr,,,iterationvars,,,
General-9-20230611-18:00:05-22608,runattr,,,iterationvarsd,,,
General-9-20230611-18:00:05-22608,runattr,,,iterationvarsf,,,
General-9-20230611-18:00:05-22608,runattr,,,measurement,,,
General-9-20230611-18:00:05-22608,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-18:00:05-22608,runattr,,,processid,22608,,
General-9-20230611-18:00:05-22608,runattr,,,repetition,9,,
General-9-20230611-18:00:05-22608,runattr,,,replication,rep9,,
General-9-20230611-18:00:05-22608,runattr,,,resultdir,"results/lambda_1.0-switchProb_0.8-serviceTime_uniform(1s,6s)",,
General-9-20230611-18:00:05-22608,runattr,,,runnumber,9,,
General-9-20230611-18:00:05-22608,runattr,,,seedset,9,,
General-9-20230611-18:00:05-22608,config,,,network,HeavyTrafficLimits,,
General-9-20230611-18:00:05-22608,config,,,sim-time-limit,100000s,,
General-9-20230611-18:00:05-22608,config,,,repeat,20,,
General-9-20230611-18:00:05-22608,config,,,replication-label,rep9,,
General-9-20230611-18:00:05-22608,config,,,result-dir,"results/lambda_1.0-switchProb_0.8-serviceTime_uniform(1s,6s)",,
General-9-20230611-18:00:05-22608,config,,,warmup-period,30000s,,
General-9-20230611-18:00:05-22608,config,,,**.source.lambda,1.0,,
General-9-20230611-18:00:05-22608,config,,,**.router.switchProbability,0.8,,
General-9-20230611-18:00:05-22608,config,,,**.server1.serviceTime,"uniform(1s,6s)",,
General-9-20230611-18:00:05-22608,config,,,**.server2.serviceTime,"uniform(1s,6s)",,
General-9-20230611-18:00:05-22608,config,,,**.server3.serviceTime,"uniform(1s,6s)",,
General-9-20230611-18:00:05-22608,config,,,**.server1.crashTime,500,,
General-9-20230611-18:00:05-22608,config,,,**.server2.crashTime,750,,
General-9-20230611-18:00:05-22608,config,,,**.server3.crashTime,1000,,
General-9-20230611-18:00:05-22608,config,,,**.server1.queueLength.record,true,,
General-9-20230611-18:00:05-22608,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-18:00:05-22608,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-18:00:05-22608,config,,,**.server3.serviceTime.record,true,,
