run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-18:35:02-2492,runattr,,,configname,General,,
General-9-20230611-18:35:02-2492,runattr,,,datetime,20230611-18:35:02,,
General-9-20230611-18:35:02-2492,runattr,,,datetimef,20230611-183502,,
General-9-20230611-18:35:02-2492,runattr,,,experiment,General,,
General-9-20230611-18:35:02-2492,runattr,,,inifile,"HeavyTrafficLimits_lambda_1.2-switchProb_0.2-serviceTime_uniform(2s,4s).ini",,
General-9-20230611-18:35:02-2492,runattr,,,iterationvars,,,
General-9-20230611-18:35:02-2492,runattr,,,iterationvarsd,,,
General-9-20230611-18:35:02-2492,runattr,,,iterationvarsf,,,
General-9-20230611-18:35:02-2492,runattr,,,measurement,,,
General-9-20230611-18:35:02-2492,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-18:35:02-2492,runattr,,,processid,2492,,
General-9-20230611-18:35:02-2492,runattr,,,repetition,9,,
General-9-20230611-18:35:02-2492,runattr,,,replication,rep9,,
General-9-20230611-18:35:02-2492,runattr,,,resultdir,"results/lambda_1.2-switchProb_0.2-serviceTime_uniform(2s,4s)",,
General-9-20230611-18:35:02-2492,runattr,,,runnumber,9,,
General-9-20230611-18:35:02-2492,runattr,,,seedset,9,,
General-9-20230611-18:35:02-2492,config,,,network,HeavyTrafficLimits,,
General-9-20230611-18:35:02-2492,config,,,sim-time-limit,100000s,,
General-9-20230611-18:35:02-2492,config,,,repeat,20,,
General-9-20230611-18:35:02-2492,config,,,replication-label,rep9,,
General-9-20230611-18:35:02-2492,config,,,result-dir,"results/lambda_1.2-switchProb_0.2-serviceTime_uniform(2s,4s)",,
General-9-20230611-18:35:02-2492,config,,,warmup-period,30000s,,
General-9-20230611-18:35:02-2492,config,,,**.source.lambda,1.2,,
General-9-20230611-18:35:02-2492,config,,,**.router.switchProbability,0.2,,
General-9-20230611-18:35:02-2492,config,,,**.server1.serviceTime,"uniform(2s,4s)",,
General-9-20230611-18:35:02-2492,config,,,**.server2.serviceTime,"uniform(2s,4s)",,
General-9-20230611-18:35:02-2492,config,,,**.server3.serviceTime,"uniform(2s,4s)",,
General-9-20230611-18:35:02-2492,config,,,**.server1.crashTime,500,,
General-9-20230611-18:35:02-2492,config,,,**.server2.crashTime,750,,
General-9-20230611-18:35:02-2492,config,,,**.server3.crashTime,1000,,
General-9-20230611-18:35:02-2492,config,,,**.server1.queueLength.record,true,,
General-9-20230611-18:35:02-2492,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-18:35:02-2492,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-18:35:02-2492,config,,,**.server3.serviceTime.record,true,,
