run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-20:11:01-16428,runattr,,,configname,General,,
General-9-20230611-20:11:01-16428,runattr,,,datetime,20230611-20:11:01,,
General-9-20230611-20:11:01-16428,runattr,,,datetimef,20230611-201101,,
General-9-20230611-20:11:01-16428,runattr,,,experiment,General,,
General-9-20230611-20:11:01-16428,runattr,,,inifile,HeavyTrafficLimits_lambda_1.4-switchProb_0.2-serviceTime_exponential(0.33s).ini,,
General-9-20230611-20:11:01-16428,runattr,,,iterationvars,,,
General-9-20230611-20:11:01-16428,runattr,,,iterationvarsd,,,
General-9-20230611-20:11:01-16428,runattr,,,iterationvarsf,,,
General-9-20230611-20:11:01-16428,runattr,,,measurement,,,
General-9-20230611-20:11:01-16428,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-20:11:01-16428,runattr,,,processid,16428,,
General-9-20230611-20:11:01-16428,runattr,,,repetition,9,,
General-9-20230611-20:11:01-16428,runattr,,,replication,rep9,,
General-9-20230611-20:11:01-16428,runattr,,,resultdir,results/lambda_1.4-switchProb_0.2-serviceTime_exponential(0.33s),,
General-9-20230611-20:11:01-16428,runattr,,,runnumber,9,,
General-9-20230611-20:11:01-16428,runattr,,,seedset,9,,
General-9-20230611-20:11:01-16428,config,,,network,HeavyTrafficLimits,,
General-9-20230611-20:11:01-16428,config,,,sim-time-limit,100000s,,
General-9-20230611-20:11:01-16428,config,,,repeat,20,,
General-9-20230611-20:11:01-16428,config,,,replication-label,rep9,,
General-9-20230611-20:11:01-16428,config,,,result-dir,results/lambda_1.4-switchProb_0.2-serviceTime_exponential(0.33s),,
General-9-20230611-20:11:01-16428,config,,,warmup-period,30000s,,
General-9-20230611-20:11:01-16428,config,,,**.source.lambda,1.4,,
General-9-20230611-20:11:01-16428,config,,,**.router.switchProbability,0.2,,
General-9-20230611-20:11:01-16428,config,,,**.server1.serviceTime,exponential(0.33s),,
General-9-20230611-20:11:01-16428,config,,,**.server2.serviceTime,exponential(0.33s),,
General-9-20230611-20:11:01-16428,config,,,**.server3.serviceTime,exponential(0.33s),,
General-9-20230611-20:11:01-16428,config,,,**.server1.crashTime,500,,
General-9-20230611-20:11:01-16428,config,,,**.server2.crashTime,750,,
General-9-20230611-20:11:01-16428,config,,,**.server3.crashTime,1000,,
General-9-20230611-20:11:01-16428,config,,,**.server1.queueLength.record,true,,
General-9-20230611-20:11:01-16428,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-20:11:01-16428,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-20:11:01-16428,config,,,**.server3.serviceTime.record,true,,
