run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-23:56:41-43760,runattr,,,configname,General,,
General-9-20230611-23:56:41-43760,runattr,,,datetime,20230611-23:56:41,,
General-9-20230611-23:56:41-43760,runattr,,,datetimef,20230611-235641,,
General-9-20230611-23:56:41-43760,runattr,,,experiment,General,,
General-9-20230611-23:56:41-43760,runattr,,,inifile,"HeavyTrafficLimits_lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s).ini",,
General-9-20230611-23:56:41-43760,runattr,,,iterationvars,,,
General-9-20230611-23:56:41-43760,runattr,,,iterationvarsd,,,
General-9-20230611-23:56:41-43760,runattr,,,iterationvarsf,,,
General-9-20230611-23:56:41-43760,runattr,,,measurement,,,
General-9-20230611-23:56:41-43760,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-23:56:41-43760,runattr,,,processid,43760,,
General-9-20230611-23:56:41-43760,runattr,,,repetition,9,,
General-9-20230611-23:56:41-43760,runattr,,,replication,rep9,,
General-9-20230611-23:56:41-43760,runattr,,,resultdir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s)",,
General-9-20230611-23:56:41-43760,runattr,,,runnumber,9,,
General-9-20230611-23:56:41-43760,runattr,,,seedset,9,,
General-9-20230611-23:56:41-43760,config,,,network,HeavyTrafficLimits,,
General-9-20230611-23:56:41-43760,config,,,sim-time-limit,100000s,,
General-9-20230611-23:56:41-43760,config,,,repeat,20,,
General-9-20230611-23:56:41-43760,config,,,replication-label,rep9,,
General-9-20230611-23:56:41-43760,config,,,result-dir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s)",,
General-9-20230611-23:56:41-43760,config,,,warmup-period,30000s,,
General-9-20230611-23:56:41-43760,config,,,**.source.lambda,2.0,,
General-9-20230611-23:56:41-43760,config,,,**.router.switchProbability,0.8,,
General-9-20230611-23:56:41-43760,config,,,**.server1.serviceTime,"uniform(2s,4s)",,
General-9-20230611-23:56:41-43760,config,,,**.server2.serviceTime,"uniform(2s,4s)",,
