run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-20:03:16-36920,runattr,,,configname,General,,
General-9-20230611-20:03:16-36920,runattr,,,datetime,20230611-20:03:16,,
General-9-20230611-20:03:16-36920,runattr,,,datetimef,20230611-200316,,
General-9-20230611-20:03:16-36920,runattr,,,experiment,General,,
General-9-20230611-20:03:16-36920,runattr,,,inifile,HeavyTrafficLimits_lambda_1.4-switchProb_0.2-serviceTime_exponential(0.25s).ini,,
General-9-20230611-20:03:16-36920,runattr,,,iterationvars,,,
General-9-20230611-20:03:16-36920,runattr,,,iterationvarsd,,,
General-9-20230611-20:03:16-36920,runattr,,,iterationvarsf,,,
General-9-20230611-20:03:16-36920,runattr,,,measurement,,,
General-9-20230611-20:03:16-36920,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-20:03:16-36920,runattr,,,processid,36920,,
General-9-20230611-20:03:16-36920,runattr,,,repetition,9,,
General-9-20230611-20:03:16-36920,runattr,,,replication,rep9,,
General-9-20230611-20:03:16-36920,runattr,,,resultdir,results/lambda_1.4-switchProb_0.2-serviceTime_exponential(0.25s),,
General-9-20230611-20:03:16-36920,runattr,,,runnumber,9,,
General-9-20230611-20:03:16-36920,runattr,,,seedset,9,,
General-9-20230611-20:03:16-36920,config,,,network,HeavyTrafficLimits,,
General-9-20230611-20:03:16-36920,config,,,sim-time-limit,100000s,,
General-9-20230611-20:03:16-36920,config,,,repeat,20,,
General-9-20230611-20:03:16-36920,config,,,replication-label,rep9,,
General-9-20230611-20:03:16-36920,config,,,result-dir,results/lambda_1.4-switchProb_0.2-serviceTime_exponential(0.25s),,
General-9-20230611-20:03:16-36920,config,,,warmup-period,30000s,,
General-9-20230611-20:03:16-36920,config,,,**.source.lambda,1.4,,
General-9-20230611-20:03:16-36920,config,,,**.router.switchProbability,0.2,,
General-9-20230611-20:03:16-36920,config,,,**.server1.serviceTime,exponential(0.25s),,
General-9-20230611-20:03:16-36920,config,,,**.server2.serviceTime,exponential(0.25s),,
General-9-20230611-20:03:16-36920,config,,,**.server3.serviceTime,exponential(0.25s),,
General-9-20230611-20:03:16-36920,config,,,**.server1.crashTime,500,,
General-9-20230611-20:03:16-36920,config,,,**.server2.crashTime,750,,
General-9-20230611-20:03:16-36920,config,,,**.server3.crashTime,1000,,
General-9-20230611-20:03:16-36920,config,,,**.server1.queueLength.record,true,,
General-9-20230611-20:03:16-36920,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-20:03:16-36920,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-20:03:16-36920,config,,,**.server3.serviceTime.record,true,,
