run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-19:20:41-33740,runattr,,,configname,General,,
General-9-20230611-19:20:41-33740,runattr,,,datetime,20230611-19:20:41,,
General-9-20230611-19:20:41-33740,runattr,,,datetimef,20230611-192041,,
General-9-20230611-19:20:41-33740,runattr,,,experiment,General,,
General-9-20230611-19:20:41-33740,runattr,,,inifile,HeavyTrafficLimits_lambda_1.2-switchProb_0.8-s1ExpMean_mu1_4.ini,,
General-9-20230611-19:20:41-33740,runattr,,,iterationvars,,,
General-9-20230611-19:20:41-33740,runattr,,,iterationvarsd,,,
General-9-20230611-19:20:41-33740,runattr,,,iterationvarsf,,,
General-9-20230611-19:20:41-33740,runattr,,,measurement,,,
General-9-20230611-19:20:41-33740,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-19:20:41-33740,runattr,,,processid,33740,,
General-9-20230611-19:20:41-33740,runattr,,,repetition,9,,
General-9-20230611-19:20:41-33740,runattr,,,replication,rep9,,
General-9-20230611-19:20:41-33740,runattr,,,resultdir,results/lambda_1.2-switchProb_0.8-s1ExpMean_mu1_4,,
General-9-20230611-19:20:41-33740,runattr,,,runnumber,9,,
General-9-20230611-19:20:41-33740,runattr,,,seedset,9,,
General-9-20230611-19:20:41-33740,config,,,network,HeavyTrafficLimits,,
General-9-20230611-19:20:41-33740,config,,,sim-time-limit,100000s,,
General-9-20230611-19:20:41-33740,config,,,repeat,20,,
General-9-20230611-19:20:41-33740,config,,,replication-label,rep9,,
General-9-20230611-19:20:41-33740,config,,,result-dir,results/lambda_1.2-switchProb_0.8-s1ExpMean_mu1_4,,
General-9-20230611-19:20:41-33740,config,,,warmup-period,30000s,,
General-9-20230611-19:20:41-33740,config,,,**.source.lambda,1.2,,
General-9-20230611-19:20:41-33740,config,,,**.router.switchProbability,0.8,,
General-9-20230611-19:20:41-33740,config,,,**.server1.serviceTime,exponential(0.33s),,
General-9-20230611-19:20:41-33740,config,,,**.server2.serviceTime,exponential(0.33s),,
