run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-19:04:38-7548,runattr,,,configname,General,,
General-9-20230611-19:04:38-7548,runattr,,,datetime,20230611-19:04:38,,
General-9-20230611-19:04:38-7548,runattr,,,datetimef,20230611-190438,,
General-9-20230611-19:04:38-7548,runattr,,,experiment,General,,
General-9-20230611-19:04:38-7548,runattr,,,inifile,"HeavyTrafficLimits_lambda_1.2-switchProb_0.4-serviceTime_uniform(1s,6s).ini",,
General-9-20230611-19:04:38-7548,runattr,,,iterationvars,,,
General-9-20230611-19:04:38-7548,runattr,,,iterationvarsd,,,
General-9-20230611-19:04:38-7548,runattr,,,iterationvarsf,,,
General-9-20230611-19:04:38-7548,runattr,,,measurement,,,
General-9-20230611-19:04:38-7548,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-19:04:38-7548,runattr,,,processid,7548,,
General-9-20230611-19:04:38-7548,runattr,,,repetition,9,,
General-9-20230611-19:04:38-7548,runattr,,,replication,rep9,,
General-9-20230611-19:04:38-7548,runattr,,,resultdir,"results/lambda_1.2-switchProb_0.4-serviceTime_uniform(1s,6s)",,
General-9-20230611-19:04:38-7548,runattr,,,runnumber,9,,
General-9-20230611-19:04:38-7548,runattr,,,seedset,9,,
General-9-20230611-19:04:38-7548,config,,,network,HeavyTrafficLimits,,
General-9-20230611-19:04:38-7548,config,,,sim-time-limit,100000s,,
General-9-20230611-19:04:38-7548,config,,,repeat,20,,
General-9-20230611-19:04:38-7548,config,,,replication-label,rep9,,
General-9-20230611-19:04:38-7548,config,,,result-dir,"results/lambda_1.2-switchProb_0.4-serviceTime_uniform(1s,6s)",,
General-9-20230611-19:04:38-7548,config,,,warmup-period,30000s,,
General-9-20230611-19:04:38-7548,config,,,**.source.lambda,1.2,,
General-9-20230611-19:04:38-7548,config,,,**.router.switchProbability,0.4,,
General-9-20230611-19:04:38-7548,config,,,**.server1.serviceTime,"uniform(1s,6s)",,
General-9-20230611-19:04:38-7548,config,,,**.server2.serviceTime,"uniform(1s,6s)",,
General-9-20230611-19:04:38-7548,config,,,**.server3.serviceTime,"uniform(1s,6s)",,
General-9-20230611-19:04:38-7548,config,,,**.server1.crashTime,500,,
General-9-20230611-19:04:38-7548,config,,,**.server2.crashTime,750,,
General-9-20230611-19:04:38-7548,config,,,**.server3.crashTime,1000,,
General-9-20230611-19:04:38-7548,config,,,**.server1.queueLength.record,true,,
General-9-20230611-19:04:38-7548,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-19:04:38-7548,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-19:04:38-7548,config,,,**.server3.serviceTime.record,true,,
