run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-17:23:48-41940,runattr,,,configname,General,,
General-9-20230611-17:23:48-41940,runattr,,,datetime,20230611-17:23:48,,
General-9-20230611-17:23:48-41940,runattr,,,datetimef,20230611-172348,,
General-9-20230611-17:23:48-41940,runattr,,,experiment,General,,
General-9-20230611-17:23:48-41940,runattr,,,inifile,HeavyTrafficLimits_lambda_1.0-switchProb_0.4-serviceTime_exponential(0.25s).ini,,
General-9-20230611-17:23:48-41940,runattr,,,iterationvars,,,
General-9-20230611-17:23:48-41940,runattr,,,iterationvarsd,,,
General-9-20230611-17:23:48-41940,runattr,,,iterationvarsf,,,
General-9-20230611-17:23:48-41940,runattr,,,measurement,,,
General-9-20230611-17:23:48-41940,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-17:23:48-41940,runattr,,,processid,41940,,
General-9-20230611-17:23:48-41940,runattr,,,repetition,9,,
General-9-20230611-17:23:48-41940,runattr,,,replication,rep9,,
General-9-20230611-17:23:48-41940,runattr,,,resultdir,results/lambda_1.0-switchProb_0.4-serviceTime_exponential(0.25s),,
General-9-20230611-17:23:48-41940,runattr,,,runnumber,9,,
General-9-20230611-17:23:48-41940,runattr,,,seedset,9,,
General-9-20230611-17:23:48-41940,config,,,network,HeavyTrafficLimits,,
General-9-20230611-17:23:48-41940,config,,,sim-time-limit,100000s,,
General-9-20230611-17:23:48-41940,config,,,repeat,20,,
General-9-20230611-17:23:48-41940,config,,,replication-label,rep9,,
General-9-20230611-17:23:48-41940,config,,,result-dir,results/lambda_1.0-switchProb_0.4-serviceTime_exponential(0.25s),,
General-9-20230611-17:23:48-41940,config,,,warmup-period,30000s,,
General-9-20230611-17:23:48-41940,config,,,**.source.lambda,1.0,,
General-9-20230611-17:23:48-41940,config,,,**.router.switchProbability,0.4,,
General-9-20230611-17:23:48-41940,config,,,**.server1.serviceTime,exponential(0.25s),,
General-9-20230611-17:23:48-41940,config,,,**.server2.serviceTime,exponential(0.25s),,
General-9-20230611-17:23:48-41940,config,,,**.server3.serviceTime,exponential(0.25s),,
General-9-20230611-17:23:48-41940,config,,,**.server1.crashTime,500,,
General-9-20230611-17:23:48-41940,config,,,**.server2.crashTime,750,,
General-9-20230611-17:23:48-41940,config,,,**.server3.crashTime,1000,,
General-9-20230611-17:23:48-41940,config,,,**.server1.queueLength.record,true,,
General-9-20230611-17:23:48-41940,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-17:23:48-41940,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-17:23:48-41940,config,,,**.server3.serviceTime.record,true,,
